r,Lp,Lt,rho,p_p,p_t,p_t_minus_p_p,trace,p2_p3_abs_split,w_p,w_t,rho_fit_rms,p_p_fit_rms,p_t_fit_rms
1.5874010519681994,1,1.5874010519681994,-0.28946216941447817,-0.328240254622577,0.019389042604049535,0.34762929722662655,2.3592239273284576e-16,1.7347234759768071e-17,1.1339659869424004,-0.066982993471200541,3.5520471343788913e-08,2.5871194255500768e-08,4.8248004254593374e-09
1.6624757922855755,1,1.6624757922855755,-0.26616215783243552,-0.32854288305610435,0.031190362611834326,0.35973324566793868,-1.8041124150158794e-16,1.3530843112619095e-16,1.2343711282313135,-0.11718556411565638,3.2003877869572795e-08,2.4295232112389792e-08,3.8544937207622925e-09
1.741101126592248,1,1.741101126592248,-0.24588861035364301,-0.32872854900348975,0.041419969324923617,0.37014851832841333,4.9960036108132044e-16,5.5511151231257827e-17,1.3369002676891146,-0.16845013384455834,2.8874854238618722e-08,2.2738010029012567e-08,3.0685997526421913e-09
1.8234449771164334,1,1.8234449771164334,-0.2282457108250516,-0.32883996142716349,0.05029712530105581,0.37913708672821927,-2.6367796834847468e-16,1.3877787807814457e-17,1.4407278903007141,-0.22036394515035654,2.6084398415312402e-08,2.1215300202052832e-08,2.4347311296024555e-09
1.9096832078208328,1,1.9096832078208328,-0.21289038405744529,-0.32890527917856821,0.058007447560560324,0.38691272673912852,-2.2759572004815709e-15,6.9388939039072284e-18,1.5449513167763276,-0.27247565838815851,2.359046171265518e-08,1.9739725328953002e-08,1.9255522161360042e-09
1.9999999999999998,1,1.9999999999999998,-0.19952494597532491,-0.32894264955848623,0.064708851791581035,0.39365150135006727,7.4940054162198066e-16,1.3877787807814457e-17,1.648629187445896,-0.32431459372294996,2.135691832502399e-08,1.8321015801499795e-08,1.5181358444206521e-09
2.094588245641253,1,2.094588245641253,-0.18789087217038392,-0.32896349031151639,0.070536309070565933,0.39949979938208235,-6.106226635438361e-16,1.3877787807814457e-17,1.750822094291012,-0.37541104714550438,1.935268050928595e-08,1.6966305283510218e-08,1.193370901548245e-09
2.1936499593892518,1,2.1936499593892518,-0.17776349245471629,-0.32897480588117195,0.075605656713227942,0.40458046259439989,2.2204460492503131e-16,1.3877787807814457e-17,1.8506319905082615,-0.42531599525413144,1.7550941164303475e-08,1.5680454504619661e-08,9.3542377342551053e-10
2.2973967099940702,1,2.2973967099940702,-0.16894745540010025,-0.32898078061516023,0.08001666260753007,0.40899744322269027,1.6653345369377348e-16,1.3877787807814457e-17,1.9472372628286712,-0.47361863141433608,1.5928528882849691e-08,1.4466375540376874e-08,7.312533588159742e-10
2.4060500721642337,1,2.4060500721642337,-0.16127283648628363,-0.32898384536715758,0.083855504440436712,0.41283934980759429,-5.2735593669694936e-16,1.3877787807814457e-17,2.0399209968328291,-0.51996049841641301,1.4465360423700392e-08,1.3325346544306665e-08,5.7017871312965949e-10
2.5198420997897464,1,2.5198420997897464,-0.15459178736436499,-0.32898537153005913,0.087196792082847752,0.41618216361290689,1.3600232051658168e-15,1.3877787807814457e-17,2.1280908717010778,-0.56404543585054323,1.3143976839767576e-08,1.2257309193931872e-08,4.4349976406891744e-10
2.639015821545788,1,2.639015821545788,-0.14877564281453698,-0.32898610936108136,0.090105233273272189,0.41909134263435355,0,1.3877787807814457e-17,2.2112901220745784,-0.60564506103728921,1.1949152159372955e-08,1.1261138368481855e-08,3.4416670971127657e-10
2.7638257599355525,1,2.7638257599355525,-0.14371241710840518,-0.32898645628483342,0.092637019588213909,0.42162347587304733,-4.163336342344337e-16,1.3877787807814457e-17,2.2891999376551593,-0.64459996882757831,1.0867563979061331e-08,1.0334880793605829e-08,2.6649461058468573e-10
2.8945384748807554,1,2.8945384748807554,-0.13930463344928068,-0.32898661583019112,0.094840991190455304,0.42382760702064642,1.6653345369377348e-16,0,2.3616344100282323,-0.68081720501411669,9.8875155814392566e-09,9.475965282980579e-09,2.0592115358450049e-10
3.0314331330207964,1,3.0314331330207964,-0.13546743962802407,-0.32898668860664493,0.096759624489310497,0.42574631309595545,1.3877787807814457e-16,1.3877787807814457e-17,2.4285296120602817,-0.71426480603014131,8.998703375428828e-09,8.6813801643654386e-09,1.5880053191370935e-10
3.1748021039363983,1,3.1748021039363983,-0.13212697055524816,-0.32898672254416322,0.098429875994457447,0.42741659853862068,-1.6653345369377348e-16,0,2.4899285979360228,-0.74496429896801075,8.1920206757916278e-09,7.9478206751853197e-09,1.2223164423755026e-10
3.3249515845711515,1,3.3249515845711515,-0.12921892436368163,-0.32898673961529162,0.099883907625805166,0.4288706472410968,3.3306690738754696e-16,2.7755575615628914e-17,2.5459640779037231,-0.77298203895186279,7.4593927179937313e-09,7.2718113942640575e-09,9.3915134330717827e-11
3.4822022531844956,1,3.4822022531844956,-0.12668732366973939,-0.32898674950148626,0.10114971291587307,0.43013646241735937,-7.2164496600635175e-16,0,2.5968403149720038,-0.79842015748599915,6.7936381287335661e-09,6.6498027526685136e-09,7.2035054948062789e-11
3.6468899542328672,1,3.6468899542328672,-0.12448343760903717,-0.32898675630151997,0.10225165934624096,0.43123841564776094,-8.6042284408449632e-16,0,2.6428154830907111,-0.82140774154535201,6.1883520134667298e-09,6.0782489103243819e-09,5.5162068806088546e-11
3.8193664156416651,1,3.8193664156416651,-0.12256484361603215,-0.32898676168627222,0.10321095903511983,0.43219772072139206,-4.163336342344337e-16,0,2.6841853828567115,-0.84209269142835408,5.6378065423925408e-09,5.553663980023671e-09,4.2175036466000684e-11
4,1,4,-0.12089461074898639,-0.32898676631730139,0.10404607778415742,0.43303284410145881,-1.6653345369377348e-16,0,2.7212690812196501,-0.86063454060982425,5.1368672276715694e-09,5.0726678299898808e-09,3.2196940654590154e-11
