t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
3.89,3.0828159496443206,0.29900338858011977,0.00383485330977899,3.6986819655938263,0.42896383698680235,0.13346090007083558,0.05343543554492528,-0.03696968093471966,-1.7726028977982367e-12,1.1236102527122116,1.734723475976807e-18
3.9,3.0869317834777408,0.299029134153666,0.0013151431602624712,3.7029626012197006,0.4271767327512482,0.13337894562719738,0.053369829411348935,-0.03705102945447028,-1.4803089309900486e-12,1.1236102527122116,4.336808689942018e-18
3.91,3.0910505899895173,0.2990297097579411,-0.0011990719447691617,3.7072257672646547,0.42546973780453246,0.13329768443780973,0.05330481803048104,-0.03711639281045258,-1.035324603826382e-12,1.1236102527122116,1.734723475976807e-18
3.92,3.095172386598314,0.2990051723886548,-0.003707384069810464,3.7114722594159453,0.4238417797509776,0.13321703402265508,0.05324033446196596,-0.037165872699460804,-5.862324514716022e-13,1.1236102527122116,-8.673617379884035e-19
3.93,3.0992971882762808,0.2989555830912197,-0.006209391229747396,3.7157028629081874,0.4222918401710256,0.13313691275695813,0.053176312615696185,-0.037199576477494535,-3.345379528951753e-13,1.1236102527122116,8.673617379884035e-19
3.94,3.1034250075592387,0.2988810069015568,-0.008704697256503705,3.7199183530561135,0.4208189534486392,0.1330572398949889,0.05311268726586113,-0.03721761707557207,-4.4324960368768984e-13,1.1236102527122116,-2.6020852139652106e-18
3.95,3.107555854557807,0.2987815127879123,-0.011192911671494145,3.7241194957752906,0.4194222056628731,0.13297793559336987,0.05304939406489993,-0.03722011291295768,-8.766529169257353e-13,1.1236102527122116,3.469446951953614e-18
3.96,3.1116897369694487,0.29865717359359123,-0.013673649563432345,3.7283070480914486,0.41810073354212274,0.1328989209338739,0.052986369557328473,-0.03720718780786315,-1.1642839470304978e-12,1.1236102527122116,0.0
3.97,3.115826660091085,0.2985080659854323,-0.01614653146646991,3.732481758651554,0.4168537234660392,0.13282011794570928,0.05292355119458632,-0.03717897088751175,-1.2499445922742325e-12,1.1236102527122116,-8.673617379884035e-19
3.98,3.1199666268329587,0.29833427039923693,-0.018611183247897706,3.736644368213622,0.4156804105379616,0.13274144962725246,0.052860877348760375,-0.03713559649442235,-1.327167542530816e-12,1.1236102527122116,8.673617379884035e-19
3.99,3.1241096377333473,0.2981358709848453,-0.02106723600052652,3.7407956101241364,0.41458007771883676,0.1326628399672221,0.052798287325849166,-0.037077204089985785,-1.342807809390223e-12,1.1236102527122116,2.6020852139652106e-18
4.0,3.1282556909739414,0.2979129555558848,-0.02351432593596353,3.7449362107960305,0.41355205500730785,0.13258421396533956,0.05273572137976005,-0.037003938157293324,-1.3392273401358068e-12,1.1236102527122116,-2.6020852139652106e-18
4.01,3.1324047823962347,0.2976656155387932,-0.02595209428327528,3.749066890174289,0.41259571867962214,0.13250549765242267,0.05267312072572811,-0.03691594810131644,-1.3795423137175078e-12,1.1236102527122116,-8.673617379884035e-19
4.0200000000000005,3.1365569055187366,0.29739394592294816,-0.02838018719067617,3.7531883621946482,0.4117104905830687,0.13242661810990392,0.05261042755358299,-0.03681338814721582,-1.5039983147779878e-12,1.1236102527122116,-8.673617379884035e-19
4.03,3.1407120515549964,0.29709804521186267,-0.03079825563003897,3.757301335235826,0.41089583748192987,0.1323475034887664,0.05254758504083822,-0.03669641723686328,-1.7111242978096186e-12,1.1236102527122116,-8.673617379884035e-19
4.04,3.144870209432443,0.2967780153754026,-0.033205955304026015,3.7614065125657135,0.4101512704550106,0.13226808302789206,0.052484537365577164,-0.036565198923658546,-1.9571150255970338e-12,1.1236102527122116,2.6020852139652106e-18
4.05,3.1490313658120077,0.29643396180298515,-0.03560294655563283,3.7655045927819435,0.4094763443438968,0.13218828707181648,0.05242122971911152,-0.03641990126572266,-2.16861945068203e-12,1.1236102527122116,8.673617379884035e-19
4.0600000000000005,3.1531955051085445,0.29606599325771493,-0.037988894279943695,3.7695962702472805,0.4088706572511638,0.13210804708788443,0.05235760831838745,-0.036260696717548106,-2.263376985833787e-12,1.1236102527122116,0.0
4.07,3.1573626095120173,0.2956742218314163,-0.04036346783789264,3.7736822355202433,0.40833385008784506,0.1320272956828,0.05229362041811497,-0.03608776202018542,-2.1744689382430238e-12,1.1236102527122116,0.0
4.08,3.161532659009461,0.29525876290051856,-0.04272634097182927,3.7777631757814025,0.40786560616954054,0.1319459666185663,0.05222921432259663,-0.03590127809004536,-1.873189103829276e-12,1.1236102527122116,-1.734723475976807e-18
4.09,3.1657056314076946,0.29481973508275267,-0.04507719172268125,3.7818397752557678,0.40746565086062997,0.13186399482780803,0.05216433939723094,-0.03570142990639539,-1.3863979408945681e-12,1.1236102527122116,0.0
4.1,3.169881502356785,0.29435726019461655,-0.04741570234851253,3.785912715631704,0.4071337512661273,0.13178131642847182,0.05209894607966632,-0.035488406397628736,-8.032741138919164e-13,1.1236102527122116,0.0
